,comicID,x1,x2,gmmCluster,url
679,680,-33.869377,-24.827839,7,https://xkcd.com/680/
100,101,-15.726549,14.883127,7,https://xkcd.com/101/
1811,1812,4.0000324,-50.40612,7,https://xkcd.com/1812/
737,738,-8.295907,-7.94653,7,https://xkcd.com/738/
1914,1915,-15.377836,22.614555,7,https://xkcd.com/1915/
718,719,-2.4740598,-14.278853,7,https://xkcd.com/719/
287,288,-17.047997,9.131283,7,https://xkcd.com/288/
1746,1747,-3.4886868,3.4694996,7,https://xkcd.com/1747/
322,323,-1.9282348,25.34113,7,https://xkcd.com/323/
242,243,-19.496052,28.177486,7,https://xkcd.com/243/
1750,1751,-0.03754086,5.740094,7,https://xkcd.com/1751/
1839,1840,-24.05797,-23.58529,7,https://xkcd.com/1840/
824,825,6.017125,2.4761024,7,https://xkcd.com/825/
980,981,11.707771,-9.731477,7,https://xkcd.com/981/
1694,1695,-4.5622864,10.711511,7,https://xkcd.com/1695/
1077,1078,-23.876831,-5.5373473,7,https://xkcd.com/1078/
1865,1866,-24.691057,14.468869,7,https://xkcd.com/1866/
1813,1814,-30.513487,-25.7287,7,https://xkcd.com/1814/
1076,1077,-27.290642,-13.180717,7,https://xkcd.com/1077/
1429,1430,52.557335,-13.941935,7,https://xkcd.com/1430/
1381,1382,-16.587002,6.0922995,7,https://xkcd.com/1382/
1594,1595,59.18623,-5.8873305,7,https://xkcd.com/1595/
1367,1368,-22.362432,14.701866,7,https://xkcd.com/1368/
1475,1476,-7.0952377,5.602785,7,https://xkcd.com/1476/
675,676,-30.364767,17.597809,7,https://xkcd.com/676/
1529,1530,14.888952,-37.245964,7,https://xkcd.com/1530/
203,204,-44.60674,21.066574,7,https://xkcd.com/204/
1663,1664,30.664024,-23.056072,7,https://xkcd.com/1664/
1659,1660,28.803629,-33.52788,7,https://xkcd.com/1660/
404,405,14.823148,-47.968605,7,https://xkcd.com/405/
1836,1837,16.455338,0.018395413,7,https://xkcd.com/1837/
1407,1408,13.4557495,-45.25677,7,https://xkcd.com/1408/
