,comicID,x1,x2,x3,gmmCluster,url
370,371,-13.736768,3.4055257,17.456636,0,"=hyperlink(""https://xkcd.com/371/"")"
1324,1325,-14.514649,7.793544,12.275011,0,"=hyperlink(""https://xkcd.com/1325/"")"
894,895,-13.739884,-5.7659745,13.271221,0,"=hyperlink(""https://xkcd.com/895/"")"
319,320,-12.271971,6.4402256,13.121638,0,"=hyperlink(""https://xkcd.com/320/"")"
1663,1664,-9.770498,4.972191,25.603111,0,"=hyperlink(""https://xkcd.com/1664/"")"
591,592,-8.972784,-0.50648797,13.175734,0,"=hyperlink(""https://xkcd.com/592/"")"
48,49,-16.504692,6.6248755,13.861541,0,"=hyperlink(""https://xkcd.com/49/"")"
1154,1155,-18.728432,7.809423,17.272089,0,"=hyperlink(""https://xkcd.com/1155/"")"
1152,1153,-15.06672,7.909265,18.408907,0,"=hyperlink(""https://xkcd.com/1153/"")"
473,474,-20.13826,0.73717356,8.581316,0,"=hyperlink(""https://xkcd.com/474/"")"
1215,1216,-14.160143,0.2606517,15.281737,0,"=hyperlink(""https://xkcd.com/1216/"")"
1002,1003,-26.760279,4.283532,2.707671,0,"=hyperlink(""https://xkcd.com/1003/"")"
769,770,-14.174633,4.6346107,11.144275,0,"=hyperlink(""https://xkcd.com/770/"")"
614,615,-22.48648,4.1892395,15.901251,0,"=hyperlink(""https://xkcd.com/615/"")"
56,57,-11.478255,2.8613992,10.681772,0,"=hyperlink(""https://xkcd.com/57/"")"
899,900,-21.298063,5.4501934,3.7787385,0,"=hyperlink(""https://xkcd.com/900/"")"
57,58,-22.510372,-0.10607646,14.857509,0,"=hyperlink(""https://xkcd.com/58/"")"
612,613,-22.21925,1.1599514,11.12091,0,"=hyperlink(""https://xkcd.com/613/"")"
58,59,-21.801434,6.880274,10.320625,0,"=hyperlink(""https://xkcd.com/59/"")"
827,828,-14.190044,5.554953,14.605109,0,"=hyperlink(""https://xkcd.com/828/"")"
1767,1768,-20.276173,10.215127,14.86174,0,"=hyperlink(""https://xkcd.com/1768/"")"
1169,1170,-14.492847,0.14533032,14.078852,0,"=hyperlink(""https://xkcd.com/1170/"")"
1439,1440,-19.100878,-1.5698274,13.637843,0,"=hyperlink(""https://xkcd.com/1440/"")"
762,763,-16.177029,9.472043,20.046867,0,"=hyperlink(""https://xkcd.com/763/"")"
531,532,-14.910617,0.06054674,6.9869666,0,"=hyperlink(""https://xkcd.com/532/"")"
281,282,-11.341012,-4.257013,12.1958475,0,"=hyperlink(""https://xkcd.com/282/"")"
278,279,-14.410255,3.8178847,13.339089,0,"=hyperlink(""https://xkcd.com/279/"")"
763,764,-22.934538,1.1489094,5.432456,0,"=hyperlink(""https://xkcd.com/764/"")"
1403,1404,-19.358229,-1.5389073,12.130235,0,"=hyperlink(""https://xkcd.com/1404/"")"
904,905,-12.328076,3.0389261,14.034189,0,"=hyperlink(""https://xkcd.com/905/"")"
488,489,-20.147587,-1.8909247,11.868664,0,"=hyperlink(""https://xkcd.com/489/"")"
1478,1479,-15.917004,6.218738,17.355337,0,"=hyperlink(""https://xkcd.com/1479/"")"
1651,1652,-17.397442,0.83058566,18.915516,0,"=hyperlink(""https://xkcd.com/1652/"")"
1769,1770,-16.333021,3.9500837,17.255825,0,"=hyperlink(""https://xkcd.com/1770/"")"
1479,1480,-14.761537,6.3671956,12.605772,0,"=hyperlink(""https://xkcd.com/1480/"")"
1389,1390,-20.154701,6.18931,4.37129,0,"=hyperlink(""https://xkcd.com/1390/"")"
606,607,-22.930632,7.4901094,16.582077,0,"=hyperlink(""https://xkcd.com/607/"")"
1314,1315,-22.500023,5.292086,4.68407,0,"=hyperlink(""https://xkcd.com/1315/"")"
1176,1177,-12.846186,-1.1764755,9.992286,0,"=hyperlink(""https://xkcd.com/1177/"")"
512,513,-14.8068495,5.5071077,13.390567,0,"=hyperlink(""https://xkcd.com/513/"")"
891,892,-18.2828,8.526069,8.022173,0,"=hyperlink(""https://xkcd.com/892/"")"
75,76,-19.90622,11.150461,13.965782,0,"=hyperlink(""https://xkcd.com/76/"")"
743,744,-9.600933,1.8193421,10.481516,0,"=hyperlink(""https://xkcd.com/744/"")"
257,258,-9.033423,3.504739,22.599245,0,"=hyperlink(""https://xkcd.com/258/"")"
300,301,-11.0561075,-1.1677701,10.29137,0,"=hyperlink(""https://xkcd.com/301/"")"
1221,1222,-21.579052,-0.19263764,15.999689,0,"=hyperlink(""https://xkcd.com/1222/"")"
1685,1686,-21.438723,-2.1768682,13.493773,0,"=hyperlink(""https://xkcd.com/1686/"")"
299,300,-24.115866,-2.7564025,6.657603,0,"=hyperlink(""https://xkcd.com/300/"")"
1145,1146,-25.849594,3.3203487,11.950796,0,"=hyperlink(""https://xkcd.com/1146/"")"
